source_id,venue,issn_queried,opf_id,opf_title,listed_in_doaj,opf_publisher,policy_id,oa_prohibited,article_version,license,embargo_amount,embargo_units,additional_oa_fee,locations,named_repositories,prerequisite_funders
S4210201235,ACS ES&T Water,2690-0637,38830,ACS ES&T Water,no,American Chemical Society,4,no,published,cc_by;cc_by_nc_nd,NA,NA,yes,any_website;funder_designated_location;named_repository;this_journal,PubMed Central,NA
S4210201235,ACS ES&T Water,2690-0637,38830,ACS ES&T Water,no,American Chemical Society,4,no,published,cc_by;cc_by_nc_nd,12,months,yes,any_website;authors_homepage;institutional_repository;named_repository;this_journal,PubMed Central,NA
S4210201235,ACS ES&T Water,2690-0637,38830,ACS ES&T Water,no,American Chemical Society,4,no,accepted,NA,NA,NA,yes,institutional_repository;subject_repository,NA,NA
S52566953,Water Research,0043-1354,13286,Water Research,no,Elsevier,7298,no,submitted,NA,NA,NA,no,any_website;named_repository,arXiv;RePEC,NA
S52566953,Water Research,0043-1354,13286,Water Research,no,Elsevier,7298,no,accepted,cc_by_nc_nd,NA,NA,no,authors_homepage;named_repository,arXiv;RePEC,NA
S52566953,Water Research,0043-1354,13286,Water Research,no,Elsevier,7298,no,accepted,cc_by_nc_nd,24,months,no,institutional_repository;subject_repository,NA,NA
S52566953,Water Research,0043-1354,13286,Water Research,no,Elsevier,7298,no,published,cc_by_nc_nd;cc_by_nc,NA,NA,yes,named_repository;non_commercial_repository;non_commercial_website;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S52566953,Water Research,0043-1354,13286,Water Research,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_website;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S52566953,Water Research,0043-1354,13286,Water Research,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_repository;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,"Wellcome Trust;en;name;name;Name;en;en;English;en;British Heart Foundation;en;BHF;name;name;Name;en;en;English;en;Versus Arthritis;en;name;name;Name;en;en;English;en;Biotechnology and Biological Sciences Research Council;en;BBSRC;name;name;Name;en;en;English;en;Blood Cancer UK;en;en;English;en;Gates Foundation;en;GF;en;English;en;Cancer Research UK;en;en;English;en;Chief Scientist Office, Scottish Executive;en;CSO;name;name;Name;en;en;English;en;Department of Health & Social Care (2014);en;DH;name;name;Name;en;en;English;en;National Institute for Health Research (2014);en;NIHR;name;name;Name;en;en;English;en;Vivensa Foundation;en;name;name;Name;en;en;English;en;European Research Council;en;ERC;name;name;Name;en;en;English;en;Medical Research Council;en;MRC;name;name;Name;en;en;English;en;Motor Neuron Disease Association;en;MND Association;name;name;Name;en;en;English;en;Parkinson's UK;en;name;name;Name;en;en;English;en;Telethon Foundation;en;en;English;en;Fondazione Telethon;it;it;Italian;en;National Institute for Health and Care Research;en;NIHR;name;name;Name;en;en;English;en"
S52566953,Water Research,0043-1354,13286,Water Research,no,Elsevier,7298,no,accepted,cc_by_nc_nd,12,months,no,institutional_repository;subject_repository,NA,Wellcome Trust;en;name;name;Name;en;en;English;en;UK Research and Innovation;UKRI;acronym;acronym;Acronym;en;Research England (UKRI)
S2764931087,Applied Water Science,2190-5487,19363,Applied Water Science,yes,Springer,3296,no,submitted,NA,NA,NA,no,authors_homepage;preprint_repository,NA,NA
S2764931087,Applied Water Science,2190-5487,19363,Applied Water Science,yes,Springer,3296,no,published,cc_by,NA,NA,no,any_website;named_repository;this_journal,PubMed Central,NA
S2764931087,Applied Water Science,2190-5487,19363,Applied Water Science,yes,Springer,3296,no,accepted,cc_by,NA,NA,no,any_website,NA,NA
S53450646,Water Science & Technology,0273-1223,13287,Water Science & Technology,yes,IWA Publishing,3241,no,published,cc_by;cc_by_nd,NA,NA,no,any_website;this_journal,NA,NA
S53450646,Water Science & Technology,0273-1223,13287,Water Science & Technology,yes,IWA Publishing,3241,no,published,cc_by_nc,NA,NA,no,non_commercial_website;this_journal,NA,NA
S53450646,Water Science & Technology,0273-1223,13287,Water Science & Technology,yes,IWA Publishing,3241,no,submitted;accepted,NA,NA,NA,NA,authors_homepage;institutional_repository;institutional_website;preprint_repository;subject_repository,NA,NA
S2764832999,Scientific investigations report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S130511131,Water Environment Research,1061-4303,37179,Water Environment Research,no,Wiley,7311,no,submitted,NA,NA,NA,no,authors_homepage;institutional_repository;named_repository;preprint_repository;subject_repository,arXiv;AgEcon;PhilPapers;PubMed Central;SSRN;RePEC,NA
S130511131,Water Environment Research,1061-4303,37179,Water Environment Research,no,Wiley,7311,no,published,cc_by,NA,NA,yes,any_website;named_repository;this_journal,PubMed Central,NA
S130511131,Water Environment Research,1061-4303,37179,Water Environment Research,no,Wiley,7311,no,published,cc_by_nc;cc_by_nc_nd,NA,NA,yes,named_repository;non_commercial_website;this_journal,PubMed Central,NA
S130511131,Water Environment Research,1061-4303,37179,Water Environment Research,no,Wiley,7311,no,accepted,NA,12,months,no,authors_homepage;named_repository;non_commercial_institutional_repository,arXiv;AgEcon;PhilPapers;PubMed Central;RePEc;SSRN,NA
S134216166,Water,2073-4441,17529,Water,no,MDPI,487,no,submitted;accepted,cc_by,NA,NA,no,any_website,NA,NA
S134216166,Water,2073-4441,17529,Water,no,MDPI,487,no,published,cc_by,NA,NA,no,any_website;this_journal,NA,NA
S124203677,Desalination and Water Treatment,1944-3986,46873,Desalination and Water Treatment,NA,Elsevier,6914,no,published,cc_by,NA,NA,no,any_website;this_journal,NA,NA
S124203677,Desalination and Water Treatment,1944-3986,46873,Desalination and Water Treatment,NA,Elsevier,6914,no,published,cc_by_nc;cc_by_nc_nd,NA,NA,no,non_commercial_website;this_journal,NA,NA
S86512602,Desalination,0011-9164,16875,Desalination,no,Elsevier,7298,no,submitted,NA,NA,NA,no,any_website;named_repository,arXiv;RePEC,NA
S86512602,Desalination,0011-9164,16875,Desalination,no,Elsevier,7298,no,accepted,cc_by_nc_nd,NA,NA,no,authors_homepage;named_repository,arXiv;RePEC,NA
S86512602,Desalination,0011-9164,16875,Desalination,no,Elsevier,7298,no,accepted,cc_by_nc_nd,24,months,no,institutional_repository;subject_repository,NA,NA
S86512602,Desalination,0011-9164,16875,Desalination,no,Elsevier,7298,no,published,cc_by_nc_nd;cc_by_nc,NA,NA,yes,named_repository;non_commercial_repository;non_commercial_website;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S86512602,Desalination,0011-9164,16875,Desalination,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_website;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S86512602,Desalination,0011-9164,16875,Desalination,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_repository;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,"Wellcome Trust;en;name;name;Name;en;en;English;en;British Heart Foundation;en;BHF;name;name;Name;en;en;English;en;Versus Arthritis;en;name;name;Name;en;en;English;en;Biotechnology and Biological Sciences Research Council;en;BBSRC;name;name;Name;en;en;English;en;Blood Cancer UK;en;en;English;en;Gates Foundation;en;GF;en;English;en;Cancer Research UK;en;en;English;en;Chief Scientist Office, Scottish Executive;en;CSO;name;name;Name;en;en;English;en;Department of Health & Social Care (2014);en;DH;name;name;Name;en;en;English;en;National Institute for Health Research (2014);en;NIHR;name;name;Name;en;en;English;en;Vivensa Foundation;en;name;name;Name;en;en;English;en;European Research Council;en;ERC;name;name;Name;en;en;English;en;Medical Research Council;en;MRC;name;name;Name;en;en;English;en;Motor Neuron Disease Association;en;MND Association;name;name;Name;en;en;English;en;Parkinson's UK;en;name;name;Name;en;en;English;en;Telethon Foundation;en;en;English;en;Fondazione Telethon;it;it;Italian;en;National Institute for Health and Care Research;en;NIHR;name;name;Name;en;en;English;en"
S86512602,Desalination,0011-9164,16875,Desalination,no,Elsevier,7298,no,accepted,cc_by_nc_nd,12,months,no,institutional_repository;subject_repository,NA,Wellcome Trust;en;name;name;Name;en;en;English;en;UK Research and Innovation;UKRI;acronym;acronym;Acronym;en;Research England (UKRI)
S2764859491,Journal of environmental chemical engineering,2213-2929,29690,Journal of Environmental Chemical Engineering,no,Elsevier,7298,no,submitted,NA,NA,NA,no,any_website;named_repository,arXiv;RePEC,NA
S2764859491,Journal of environmental chemical engineering,2213-2929,29690,Journal of Environmental Chemical Engineering,no,Elsevier,7298,no,accepted,cc_by_nc_nd,NA,NA,no,authors_homepage;named_repository,arXiv;RePEC,NA
S2764859491,Journal of environmental chemical engineering,2213-2929,29690,Journal of Environmental Chemical Engineering,no,Elsevier,7298,no,accepted,cc_by_nc_nd,24,months,no,institutional_repository;subject_repository,NA,NA
S2764859491,Journal of environmental chemical engineering,2213-2929,29690,Journal of Environmental Chemical Engineering,no,Elsevier,7298,no,published,cc_by_nc_nd;cc_by_nc,NA,NA,yes,named_repository;non_commercial_repository;non_commercial_website;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S2764859491,Journal of environmental chemical engineering,2213-2929,29690,Journal of Environmental Chemical Engineering,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_website;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S2764859491,Journal of environmental chemical engineering,2213-2929,29690,Journal of Environmental Chemical Engineering,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_repository;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,"Wellcome Trust;en;name;name;Name;en;en;English;en;British Heart Foundation;en;BHF;name;name;Name;en;en;English;en;Versus Arthritis;en;name;name;Name;en;en;English;en;Biotechnology and Biological Sciences Research Council;en;BBSRC;name;name;Name;en;en;English;en;Blood Cancer UK;en;en;English;en;Gates Foundation;en;GF;en;English;en;Cancer Research UK;en;en;English;en;Chief Scientist Office, Scottish Executive;en;CSO;name;name;Name;en;en;English;en;Department of Health & Social Care (2014);en;DH;name;name;Name;en;en;English;en;National Institute for Health Research (2014);en;NIHR;name;name;Name;en;en;English;en;Vivensa Foundation;en;name;name;Name;en;en;English;en;European Research Council;en;ERC;name;name;Name;en;en;English;en;Medical Research Council;en;MRC;name;name;Name;en;en;English;en;Motor Neuron Disease Association;en;MND Association;name;name;Name;en;en;English;en;Parkinson's UK;en;name;name;Name;en;en;English;en;Telethon Foundation;en;en;English;en;Fondazione Telethon;it;it;Italian;en;National Institute for Health and Care Research;en;NIHR;name;name;Name;en;en;English;en"
S2764859491,Journal of environmental chemical engineering,2213-2929,29690,Journal of Environmental Chemical Engineering,no,Elsevier,7298,no,accepted,cc_by_nc_nd,12,months,no,institutional_repository;subject_repository,NA,Wellcome Trust;en;name;name;Name;en;en;English;en;UK Research and Innovation;UKRI;acronym;acronym;Acronym;en;Research England (UKRI)
S11732831,Environmental Monitoring and Assessment,0167-6369,15706,Environmental Monitoring and Assessment,no,Springer,7331,no,published,cc_by_nc_nd,NA,NA,yes,non_commercial_website;this_journal,NA,NA
S11732831,Environmental Monitoring and Assessment,0167-6369,15706,Environmental Monitoring and Assessment,no,Springer,7331,no,published,cc_by,NA,NA,yes,any_website;this_journal,NA,NA
S11732831,Environmental Monitoring and Assessment,0167-6369,15706,Environmental Monitoring and Assessment,no,Springer,7331,no,accepted,NA,12,months,no,non_commercial_repository,NA,NA
S11732831,Environmental Monitoring and Assessment,0167-6369,15706,Environmental Monitoring and Assessment,no,Springer,7331,no,submitted,NA,NA,NA,NA,any_website,NA,NA
S4210200103,Proceedings of the Water Environment Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S44455300,Journal of Environmental Management,0301-4797,11372,Journal of Environmental Management,no,Elsevier,7298,no,submitted,NA,NA,NA,no,any_website;named_repository,arXiv;RePEC,NA
S44455300,Journal of Environmental Management,0301-4797,11372,Journal of Environmental Management,no,Elsevier,7298,no,accepted,cc_by_nc_nd,NA,NA,no,authors_homepage;named_repository,arXiv;RePEC,NA
S44455300,Journal of Environmental Management,0301-4797,11372,Journal of Environmental Management,no,Elsevier,7298,no,accepted,cc_by_nc_nd,24,months,no,institutional_repository;subject_repository,NA,NA
S44455300,Journal of Environmental Management,0301-4797,11372,Journal of Environmental Management,no,Elsevier,7298,no,published,cc_by_nc_nd;cc_by_nc,NA,NA,yes,named_repository;non_commercial_repository;non_commercial_website;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S44455300,Journal of Environmental Management,0301-4797,11372,Journal of Environmental Management,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_website;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S44455300,Journal of Environmental Management,0301-4797,11372,Journal of Environmental Management,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_repository;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,"Wellcome Trust;en;name;name;Name;en;en;English;en;British Heart Foundation;en;BHF;name;name;Name;en;en;English;en;Versus Arthritis;en;name;name;Name;en;en;English;en;Biotechnology and Biological Sciences Research Council;en;BBSRC;name;name;Name;en;en;English;en;Blood Cancer UK;en;en;English;en;Gates Foundation;en;GF;en;English;en;Cancer Research UK;en;en;English;en;Chief Scientist Office, Scottish Executive;en;CSO;name;name;Name;en;en;English;en;Department of Health & Social Care (2014);en;DH;name;name;Name;en;en;English;en;National Institute for Health Research (2014);en;NIHR;name;name;Name;en;en;English;en;Vivensa Foundation;en;name;name;Name;en;en;English;en;European Research Council;en;ERC;name;name;Name;en;en;English;en;Medical Research Council;en;MRC;name;name;Name;en;en;English;en;Motor Neuron Disease Association;en;MND Association;name;name;Name;en;en;English;en;Parkinson's UK;en;name;name;Name;en;en;English;en;Telethon Foundation;en;en;English;en;Fondazione Telethon;it;it;Italian;en;National Institute for Health and Care Research;en;NIHR;name;name;Name;en;en;English;en"
S44455300,Journal of Environmental Management,0301-4797,11372,Journal of Environmental Management,no,Elsevier,7298,no,accepted,cc_by_nc_nd,12,months,no,institutional_repository;subject_repository,NA,Wellcome Trust;en;name;name;Name;en;en;English;en;UK Research and Innovation;UKRI;acronym;acronym;Acronym;en;Research England (UKRI)
S140251998,Journal of Biological Chemistry,0021-9258,10347,Journal of Biological Chemistry,yes,Elsevier,2252,no,published,cc_by,NA,NA,no,any_website;named_repository;this_journal,PubMed Central,NA
S140251998,Journal of Biological Chemistry,0021-9258,10347,Journal of Biological Chemistry,yes,Elsevier,2252,no,published,cc_by_nc_nd,NA,NA,no,named_repository;non_commercial_repository;non_commercial_website;this_journal,PubMed Central,NA
S140251998,Journal of Biological Chemistry,0021-9258,10347,Journal of Biological Chemistry,yes,Elsevier,2252,no,submitted;accepted,cc_by_nc_nd,NA,NA,no,named_repository;non_commercial_repository;non_commercial_website,PubMed Central,NA
S140251998,Journal of Biological Chemistry,0021-9258,10347,Journal of Biological Chemistry,yes,Elsevier,2252,no,submitted;accepted,cc_by,NA,NA,no,any_website;named_repository,PubMed Central,NA
S35825460,Journal of Environmental Sciences,1001-0742,12541,Journal of Environmental Sciences,no,Elsevier,7298,no,submitted,NA,NA,NA,no,any_website;named_repository,arXiv;RePEC,NA
S35825460,Journal of Environmental Sciences,1001-0742,12541,Journal of Environmental Sciences,no,Elsevier,7298,no,accepted,cc_by_nc_nd,NA,NA,no,authors_homepage;named_repository,arXiv;RePEC,NA
S35825460,Journal of Environmental Sciences,1001-0742,12541,Journal of Environmental Sciences,no,Elsevier,7298,no,accepted,cc_by_nc_nd,24,months,no,institutional_repository;subject_repository,NA,NA
S35825460,Journal of Environmental Sciences,1001-0742,12541,Journal of Environmental Sciences,no,Elsevier,7298,no,published,cc_by_nc_nd;cc_by_nc,NA,NA,yes,named_repository;non_commercial_repository;non_commercial_website;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S35825460,Journal of Environmental Sciences,1001-0742,12541,Journal of Environmental Sciences,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_website;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S35825460,Journal of Environmental Sciences,1001-0742,12541,Journal of Environmental Sciences,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_repository;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,"Wellcome Trust;en;name;name;Name;en;en;English;en;British Heart Foundation;en;BHF;name;name;Name;en;en;English;en;Versus Arthritis;en;name;name;Name;en;en;English;en;Biotechnology and Biological Sciences Research Council;en;BBSRC;name;name;Name;en;en;English;en;Blood Cancer UK;en;en;English;en;Gates Foundation;en;GF;en;English;en;Cancer Research UK;en;en;English;en;Chief Scientist Office, Scottish Executive;en;CSO;name;name;Name;en;en;English;en;Department of Health & Social Care (2014);en;DH;name;name;Name;en;en;English;en;National Institute for Health Research (2014);en;NIHR;name;name;Name;en;en;English;en;Vivensa Foundation;en;name;name;Name;en;en;English;en;European Research Council;en;ERC;name;name;Name;en;en;English;en;Medical Research Council;en;MRC;name;name;Name;en;en;English;en;Motor Neuron Disease Association;en;MND Association;name;name;Name;en;en;English;en;Parkinson's UK;en;name;name;Name;en;en;English;en;Telethon Foundation;en;en;English;en;Fondazione Telethon;it;it;Italian;en;National Institute for Health and Care Research;en;NIHR;name;name;Name;en;en;English;en"
S35825460,Journal of Environmental Sciences,1001-0742,12541,Journal of Environmental Sciences,no,Elsevier,7298,no,accepted,cc_by_nc_nd,12,months,no,institutional_repository;subject_repository,NA,Wellcome Trust;en;name;name;Name;en;en;English;en;UK Research and Innovation;UKRI;acronym;acronym;Acronym;en;Research England (UKRI)
S86852077,The Science of The Total Environment,0048-9697,15487,Science of the Total Environment,no,Elsevier,7298,no,submitted,NA,NA,NA,no,any_website;named_repository,arXiv;RePEC,NA
S86852077,The Science of The Total Environment,0048-9697,15487,Science of the Total Environment,no,Elsevier,7298,no,accepted,cc_by_nc_nd,NA,NA,no,authors_homepage;named_repository,arXiv;RePEC,NA
S86852077,The Science of The Total Environment,0048-9697,15487,Science of the Total Environment,no,Elsevier,7298,no,accepted,cc_by_nc_nd,24,months,no,institutional_repository;subject_repository,NA,NA
S86852077,The Science of The Total Environment,0048-9697,15487,Science of the Total Environment,no,Elsevier,7298,no,published,cc_by_nc_nd;cc_by_nc,NA,NA,yes,named_repository;non_commercial_repository;non_commercial_website;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S86852077,The Science of The Total Environment,0048-9697,15487,Science of the Total Environment,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_website;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S86852077,The Science of The Total Environment,0048-9697,15487,Science of the Total Environment,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_repository;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,"Wellcome Trust;en;name;name;Name;en;en;English;en;British Heart Foundation;en;BHF;name;name;Name;en;en;English;en;Versus Arthritis;en;name;name;Name;en;en;English;en;Biotechnology and Biological Sciences Research Council;en;BBSRC;name;name;Name;en;en;English;en;Blood Cancer UK;en;en;English;en;Gates Foundation;en;GF;en;English;en;Cancer Research UK;en;en;English;en;Chief Scientist Office, Scottish Executive;en;CSO;name;name;Name;en;en;English;en;Department of Health & Social Care (2014);en;DH;name;name;Name;en;en;English;en;National Institute for Health Research (2014);en;NIHR;name;name;Name;en;en;English;en;Vivensa Foundation;en;name;name;Name;en;en;English;en;European Research Council;en;ERC;name;name;Name;en;en;English;en;Medical Research Council;en;MRC;name;name;Name;en;en;English;en;Motor Neuron Disease Association;en;MND Association;name;name;Name;en;en;English;en;Parkinson's UK;en;name;name;Name;en;en;English;en;Telethon Foundation;en;en;English;en;Fondazione Telethon;it;it;Italian;en;National Institute for Health and Care Research;en;NIHR;name;name;Name;en;en;English;en"
S86852077,The Science of The Total Environment,0048-9697,15487,Science of the Total Environment,no,Elsevier,7298,no,accepted,cc_by_nc_nd,12,months,no,institutional_repository;subject_repository,NA,Wellcome Trust;en;name;name;Name;en;en;English;en;UK Research and Innovation;UKRI;acronym;acronym;Acronym;en;Research England (UKRI)
S46544255,PLoS neglected tropical diseases,1935-2727,17598,PLoS Neglected Tropical Diseases,yes,Public Library of Science,112,no,published,cc_by,NA,NA,no,any_website;named_repository;this_journal,PubMed Central,NA
S46544255,PLoS neglected tropical diseases,1935-2727,17598,PLoS Neglected Tropical Diseases,yes,Public Library of Science,112,no,accepted,cc_by,NA,NA,no,any_website;institutional_repository,NA,NA
S46544255,PLoS neglected tropical diseases,1935-2727,17598,PLoS Neglected Tropical Diseases,yes,Public Library of Science,112,no,submitted,cc_by,NA,NA,no,institutional_repository;preprint_repository,NA,NA
S69753523,Separation and Purification Technology,1383-5866,16964,Separation and Purification Technology,no,Elsevier,7298,no,submitted,NA,NA,NA,no,any_website;named_repository,arXiv;RePEC,NA
