paperid,volume,issue,first_author_affiliation,correspondence_author_affiliation
94112,21,4,"Ibero-American Society of Environmental Health (SIBSA), Zabala 3555, Ciudad Autónoma de Buenos Aires (CABA), Rep. Argentina, CP 1427","Ibero-American Society of Environmental Health (SIBSA), Zabala 3555, Ciudad Autónoma de Buenos Aires (CABA), Rep. Argentina, CP 1427"
94554,21,5,"Department of Microbiology, Falavarjan Branch, Islamic Azad University, Esfahan, Iran 84517-31167","Department of Biology and Vector Control of Diseases, School of Public Health, Tehran University of Medical Sciences, Tehran, Iran 14176-13151"
99399,22,1,"Harbin Center of Natural Resources Comprehensive Survey, CGS, Harbin 150081, P.R. China","Harbin Center of Natural Resources Comprehensive Survey, CGS, Harbin 150081, P.R. China"
102468,22,6,"Department of Microbiology, Faculty of Science, Catholic University of Cameroon (CATUC), P.O. Box 782, Bamenda, Big Mankon","Department of Microbiology, Faculty of Science, Catholic University of Cameroon (CATUC), P.O. Box 782, Bamenda, Big Mankon"
102850,22,7,"Laboratoire de Microbiologie et de Biotechnologies Microbiennes, Université Joseph KI-ZERBO, Ouagadougou Burkina Faso","Laboratoire de Microbiologie et de Biotechnologies Microbiennes, Université Joseph KI-ZERBO, Ouagadougou Burkina Faso"
102788,22,7,"Institute of Environmental and Occupational Health Sciences, College of Public Health, National Taiwan University, Taipei, Taiwan, R.O.C.","Institute of Environmental and Occupational Health Sciences, College of Public Health, National Taiwan University, Taipei, Taiwan, R.O.C."
104940,22,10,"Department of Medical laboratory, Faculty of Health Sciences, Amoud University, Boorama, Awdal, Somaliland","Department of Medical laboratory, Faculty of Health Sciences, Amoud University, Boorama, Awdal, Somaliland"
105399,22,11,"Department of Hydrotehnics, Faculty of Civil Engineering, University of Rijeka, Radmile Matejčić 3, 51000, Rijeka, The Republic of Croatia","Department of Hydrotehnics, Faculty of Civil Engineering, University of Rijeka, Radmile Matejčić 3, 51000, Rijeka, The Republic of Croatia"
107338,23,3,"Faculty of Veterinary and Agriculture, University of Prishtina ‘Hasan Prishtina’, Prishtina 10 000, Kosova","Faculty of Mechanical and Computer Engineering, University of Mitrovica'Isa Boletini’, Mitrovica 40000, Kosovo"
110185,23,12,"Graduate Institute of Environmental Engineering, National Taiwan University, No. 71, Zhoushan Rd., Da'an Dist., Taipei City 106, Taiwan","Graduate Institute of Environmental Engineering, National Taiwan University, No. 71, Zhoushan Rd., Da'an Dist., Taipei City 106, Taiwan"
