paperid,volume,issue,first_author_affiliation,correspondence_author_affiliation
25568,1,5-6,"Membrane Technology Laboratory, Korea Institute of Science and Technology, Seoul 130-650, Korea. E-mail:","Membrane Technology Laboratory, Korea Institute of Science and Technology, Seoul 130-650, Korea. E-mail:"
25570,1,5-6,"City of San Diego, 600 ‘B’ Street, Suite 500, San Diego, California, 92101, USA. E-mail:","City of San Diego, 600 ‘B’ Street, Suite 500, San Diego, California, 92101, USA. E-mail:"
25573,1,5-6,"CH2M ILL, 1620 W. Fountainhead Parkway, Suite 550, Tempe, Arizona 85282","CH2M ILL, 1620 W. Fountainhead Parkway, Suite 550, Tempe, Arizona 85282"
25582,1,5-6,"Advanced Membrane Systems, Inc., 126 Production Drive, Yorktown, Virginia 23693 USA","Advanced Membrane Systems, Inc., 126 Production Drive, Yorktown, Virginia 23693 USA"
25584,1,5-6,"Montgomery Watson, 1340 Treat Blvd., Suite 300, Walnut Creek, CA USA, 925-933-2250",NA
25592,1,5-6,"Department of R & D, Suido Kiko Co., Ltd., 48-16 Sakuragaoka 5-Chome Setagaya-ku Tokyo 194-0014 Japan. E-mail:","Department of R & D, Suido Kiko Co., Ltd., 48-16 Sakuragaoka 5-Chome Setagaya-ku Tokyo 194-0014 Japan. E-mail:"
25593,1,5-6,"Amafilter Deutschland GmbH; Am Pferdemarkt 11, D-30853 Langenhagen, Germany. E-mail:","Amafilter Deutschland GmbH; Am Pferdemarkt 11, D-30853 Langenhagen, Germany. E-mail:"
25594,1,5-6,"Explochem Water, PO Box 400, Ferndale, South Africa, 2160. E-mail:","Explochem Water, PO Box 400, Ferndale, South Africa, 2160. E-mail:"
30832,2,1,"DHV Water BV, P.O. Box 484, 3800 AL Amersfoort, The Netherlands. (E-mail:","DHV Water BV, P.O. Box 484, 3800 AL Amersfoort, The Netherlands. (E-mail:"
30805,2,1,"Australian Water Quality Centre, PMB 3, Salisbury, South Australia, 5108",NA
30810,2,1,"Zweckverband Bodensee-Wasserversorgung,Water Control and Research Laboratory, Süflenmühle, D-78354 Sipplingen, Germany. (E-mail:","Zweckverband Bodensee-Wasserversorgung,Water Control and Research Laboratory, Süflenmühle, D-78354 Sipplingen, Germany. (E-mail:"
30820,2,1,"Witteveen+Bos Consulting Engineers, P.O. Box 233, 7400 AE Deventer, The Netherlands. (E-mail:",NA
25530,2,2,"Environmental Science & Engineering Division, Colorado School of Mines Golden, CO 80401-1887, U.S.A. (E-mail:","Environmental Science & Engineering Division, Colorado School of Mines Golden, CO 80401-1887, U.S.A. (E-mail:"
25533,2,2,"Department of Water and Environmental Studies, University of Linköping, SE-581 83 Linköping, Sweden. (E-mail:","Department of Water and Environmental Studies, University of Linköping, SE-581 83 Linköping, Sweden. (E-mail:"
25551,2,2,"Consiglio Nazionale delle Ricerche, Istituto di Ricerca Sulle Acque,Via F. De Blasio, 5 - 70123 Bari - Italy. (E-mail:","Consiglio Nazionale delle Ricerche, Istituto di Ricerca Sulle Acque,Via F. De Blasio, 5 - 70123 Bari - Italy. (E-mail:"
25569,2,2,"Author to whom all correspondence should be addressed - Laboratoire d'Electrochimie Analytique, Université Claude Bernard, bâtiment 308, CPE, 43 bd du 11 novembre 1918, 69622 Villeurbanne Cedex, France.","Author to whom all correspondence should be addressed - Laboratoire d'Electrochimie Analytique, Université Claude Bernard, bâtiment 308, CPE, 43 bd du 11 novembre 1918, 69622 Villeurbanne Cedex, France."
25578,2,2,"Department of Civil Engineering, Waseda University, 3-4-1 Okubo, Shinjuku-ku, Tokyo 169-8555, Japan. (E-mail:","Department of Civil Engineering, Waseda University, 3-4-1 Okubo, Shinjuku-ku, Tokyo 169-8555, Japan. (E-mail:"
25580,2,2,"Rand Water, PO Box 3526, Vereeniging 1930 South Africa.","Rand Water, PO Box 3526, Vereeniging 1930 South Africa."
25585,2,2,"Dep. of Water and Environmental Engineering, Lund Institute of Technology, Box 118, 221 00 Lund, Sweden. (E-mail:","Dep. of Water and Environmental Engineering, Lund Institute of Technology, Box 118, 221 00 Lund, Sweden. (E-mail:"
25586,2,2,"School of Civil, Urban & Geosystem Engineering, Seoul National University, San 56-1, Shilim-dong, Kwanak-gu, Seoul, Korea. (E-mail:","School of Civil, Urban & Geosystem Engineering, Seoul National University, San 56-1, Shilim-dong, Kwanak-gu, Seoul, Korea. (E-mail:"
25590,2,2,"GELSENWASSER AG, Department of Planning, Maintenance, Plant Construction, Willy-Brandt-Allee 26, D-45891 Gelsenkirchen, Germany. (at present: Zweckverband Landeswasserversorgung, Water Control and Research Laboratory, D-89123 Langenau, Germany. (E-mail:","GELSENWASSER AG, Department of Planning, Maintenance, Plant Construction, Willy-Brandt-Allee 26, D-45891 Gelsenkirchen, Germany. (at present: Zweckverband Landeswasserversorgung, Water Control and Research Laboratory, D-89123 Langenau, Germany. (E-mail:"
25591,2,2,"School of Environmental and Municipal Engineering, Xi'an University of Architecture and Technology, No 13 Yanta Road, Xi'an 710055, China. (E-mail:","School of Environmental and Municipal Engineering, Xi'an University of Architecture and Technology, No 13 Yanta Road, Xi'an 710055, China. (E-mail:"
25531,2,2,"PSI Project Team, Suido Kiko Kaisha, Ltd.","Water Quality Research Center, Suido Kiko Kaisha, Ltd., 5-48-16 Sakuragaoka, Setagaya-ku, Tokyo 156-0054 Japan. (E-mail:"
25536,2,2,"Department of Civil Engineering and Water Resources Research Center, University of Hawaii at Manoa, 2540 Dole Street, Honolulu, Hawaii 96822, U.S.A. (E-mail:","Department of Civil Engineering and Water Resources Research Center, University of Hawaii at Manoa, 2540 Dole Street, Honolulu, Hawaii 96822, U.S.A. (E-mail:"
25541,2,2,"Vivendi Water Partnership, Blackwell House, Three Valleys Way, Bushey, Herts, WD23 2LG. (E-mail:","Vivendi Water Partnership, Blackwell House, Three Valleys Way, Bushey, Herts, WD23 2LG. (E-mail:"
25544,2,2,"Department of Chemistry - CQFB, FCT - Universidade Nova de Lisboa, 2829-516 Caparica, Portugal. (E-mail:","Department of Chemistry - CQFB, FCT - Universidade Nova de Lisboa, 2829-516 Caparica, Portugal. (E-mail:"
25548,2,2,"Department of Urban and Environmental Engineering, Hokkaido University, N13 W8 Sapporo 060-8628, Japan. (E-mail:","Department of Urban and Environmental Engineering, Hokkaido University, N13 W8 Sapporo 060-8628, Japan. (E-mail:"
25552,2,2,"Department of Urban Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-Ku, Tokyo 113-8656, Japan. (E-mail:","Department of Urban Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-Ku, Tokyo 113-8656, Japan. (E-mail:"
25554,2,2,"Carollo Engineers; 12592 W. Explorer Dr.; Boise, Idaho, 83713. (E-mail:","Carollo Engineers; 12592 W. Explorer Dr.; Boise, Idaho, 83713. (E-mail:"
25555,2,2,"Department of Civil and Environmental Engineering, M.L. 0071, University of Cincinnati, Cincinnati, OH, U.S.A., 45221. (E-mail:","Department of Civil and Environmental Engineering, M.L. 0071, University of Cincinnati, Cincinnati, OH, U.S.A., 45221. (E-mail:"
25557,2,2,"Department of Environmental Engineering, Graduate School of Engineering, Kyoto University, Yoshidahonmachi, Sakyo-ku, Kyoto 606-8501, Japan. (E-mail:","Department of Environmental Engineering, Graduate School of Engineering, Kyoto University, Yoshidahonmachi, Sakyo-ku, Kyoto 606-8501, Japan. (E-mail:"
25559,2,2,"Center for Environmental Biotechnology, Lawrence Berkeley National Laboratory, MS 70A-3317, 1 Cyclotron Road, Berkeley, CA 94720, USA. (E-mail:","Center for Environmental Biotechnology, Lawrence Berkeley National Laboratory, MS 70A-3317, 1 Cyclotron Road, Berkeley, CA 94720, USA. (E-mail:"
25560,2,2,"Kiwa N.V., Water Research, P.O. Box 1072, 3430 BB Nieuwegein, the Netherlands. (E-mail:","Kiwa N.V., Water Research, P.O. Box 1072, 3430 BB Nieuwegein, the Netherlands. (E-mail:"
25565,2,2,"Department of Civil Engineering, Northwestern University, 2145 Sheridan Road, Evanston, Illinois 60208-3109, USA. (E-mail:","Department of Civil Engineering, Northwestern University, 2145 Sheridan Road, Evanston, Illinois 60208-3109, USA. (E-mail:"
25567,2,2,"Department of Water Quality Control, Technical University Berlin, Strafle des 17. Juni 135, 10623 Berlin, Germany. (E-mail:","Department of Water Quality Control, Technical University Berlin, Strafle des 17. Juni 135, 10623 Berlin, Germany. (E-mail:"
25571,2,2,"GEH Wasserchemie GmbH & Co. KG, Heinrich Hasemeier Strafle 33, D-49076 Osnabrück.","GEH Wasserchemie GmbH & Co. KG, Heinrich Hasemeier Strafle 33, D-49076 Osnabrück."
25572,2,2,"Department of Urban Engineering, The University of Tokyo, 7-3-1, Hongo, Bunkyo, Tokyo 113-8656, Japan. (E-mail:","Department of Urban Engineering, The University of Tokyo, 7-3-1, Hongo, Bunkyo, Tokyo 113-8656, Japan. (E-mail:"
25574,2,2,"IWW Rheinisch-Westfaelisches Institut fuer Wasserforschung gemeinnuetzige GmbH, (Institut an der Universitaet Duisburg), Moritzstr.26, 45476 Muelheim, Germany. (E-mail:","IWW Rheinisch-Westfaelisches Institut fuer Wasserforschung gemeinnuetzige GmbH, (Institut an der Universitaet Duisburg), Moritzstr.26, 45476 Muelheim, Germany. (E-mail:"
25575,2,2,"Department of Sanitary Engineering, Faculty of Civil Engineering and Geosciences, Delft University of Technology, Stevinweg 1, 2628 CN Delft, the Netherlands. (E-mail:","Department of Sanitary Engineering, Faculty of Civil Engineering and Geosciences, Delft University of Technology, Stevinweg 1, 2628 CN Delft, the Netherlands. (E-mail:"
25577,2,2,"Department of Civil Engineering, Korea Advanced Institute of Science and Technology(KAIST), Kusong-dong, Yusong-gu, Taejon, Korea (E-mail: ,","Department of Civil Engineering, Korea Advanced Institute of Science and Technology(KAIST), Kusong-dong, Yusong-gu, Taejon, Korea (E-mail: ,"
25637,2,3,"Centre for Water and Waste Technology, Cooperative Research Centre for Water Quality and Treatment, School of Civil and Environmental Engineering, UNSW-Sydney, NSW 2052 Australia (E-mail:","Centre for Water and Waste Technology, Cooperative Research Centre for Water Quality and Treatment, School of Civil and Environmental Engineering, UNSW-Sydney, NSW 2052 Australia (E-mail:"
25639,2,3,"MicroDiagnostics (UK) Ltd, 55 Holford Road, Merrow, Guildford GU1 2QE, UK (E-mail:","MicroDiagnostics (UK) Ltd, 55 Holford Road, Merrow, Guildford GU1 2QE, UK (E-mail:"
25650,2,3,"Department of Environmental Engineering and Health, Yuanpei Institute of Science and Technology, Hsinchu, Taiwan, ROC","Department of Environmental Engineering and Health, Yuanpei Institute of Science and Technology, Hsinchu, Taiwan, ROC"
25653,2,3,"Departament of Microbiology, University of Barcelona, Spain (E-mail:","Departament of Microbiology, University of Barcelona, Spain (E-mail:"
25611,2,3,"Department of Environmental Health, Flinders University, GPO Box 2100, Adelaide 5001, Australia (E-mail:","Department of Environmental Health, Flinders University, GPO Box 2100, Adelaide 5001, Australia (E-mail:"
25613,2,3,"Montgomery Watson Harza, 40184 Stoneburner Mill Lane, Lovettsville, Virginia 20180 (E-mail:","Montgomery Watson Harza, 40184 Stoneburner Mill Lane, Lovettsville, Virginia 20180 (E-mail:"
25618,2,3,"Engineering Department, Municipal Water Works Division, Ebara Corp. 1-6-27 Kohnan Minato-ku, Tokyo 108-8480, Japan (E-mail:","Engineering Department, Municipal Water Works Division, Ebara Corp. 1-6-27 Kohnan Minato-ku, Tokyo 108-8480, Japan (E-mail:"
25624,2,3,"Instituto de Ingeniería, Coordinación de Ingeniería Ambiental, Universidad Nacional Autónoma de México, Apartado Postal 70-472, Coyoacán, 04510 México, D.F",NA
25631,2,3,"CRC for Water Quality and Treatment, Australian Water Quality Centre, Private Mail Bag 3, Salisbury, South Australia, 5108 Australia",NA
25666,2,4,"Department of Civil Engineering and Center for Biofilm Engineering, Montana State University, Bozeman, MT 59717-3980, USA (E-mail:","Department of Civil Engineering and Center for Biofilm Engineering, Montana State University, Bozeman, MT 59717-3980, USA (E-mail:"
25668,2,4,"Department of Environmental Health, Flinders University, GPO Box 2100, Adelaide, South Australia 5001","Department of Environmental Health, Flinders University, GPO Box 2100, Adelaide, South Australia 5001"
25669,2,4,"Environment and Resources DTU, Technical University of Denmark, Bygning 115, 2800 Lyngby, Denmark (Website:",NA
25632,2,4,"Vivendi Water Partnership, Blackwell House, Three Valleys Way, Bushey WD23 2LG, UK (E-mail:","Vivendi Water Partnership, Blackwell House, Three Valleys Way, Bushey WD23 2LG, UK (E-mail:"
25644,2,4,Facultad de Química UAEMex. Paseo Colón y Paseo Tollocan s/n Toluca Estado de México (E-mail:,Facultad de Química UAEMex. Paseo Colón y Paseo Tollocan s/n Toluca Estado de México (E-mail:
25649,2,4,"Instituto Tecnológico del Agua, Universidad Politécnica de Valencia. Cno. De Vera s/n, 46022 Valencia, Spain (E-mail:","Instituto Tecnológico del Agua, Universidad Politécnica de Valencia. Cno. De Vera s/n, 46022 Valencia, Spain (E-mail:"
25654,2,4,"Business Partners for Development: Water and Sanitation Cluster, c/o WaterAid, Prince Consort House, 27-29 Albert Embankment, London SE1 7UB United Kingdom","Business Partners for Development: Water and Sanitation Cluster, c/o WaterAid, Prince Consort House, 27-29 Albert Embankment, London SE1 7UB United Kingdom"
25656,2,4,"Urban Water, Chalmers University of Technology, SE-412 96 Gothenburg, Sweden (E-mail:","Urban Water, Chalmers University of Technology, SE-412 96 Gothenburg, Sweden (E-mail:"
25658,2,4,"Seattle Public Utilities, 710 Second Avenue, 11th Floor, Seattle, WA 98104-USA (E-mail:","Seattle Public Utilities, 710 Second Avenue, 11th Floor, Seattle, WA 98104-USA (E-mail:"
25771,2,5-6,"Department of Chemical Engineering, University of Newcastle, Callaghan, NSW 2308, Australia (E-mail:","Department of Chemical Engineering, University of Newcastle, Callaghan, NSW 2308, Australia (E-mail:"
25693,2,5-6,"Department of Civil Engineering, Kitami Institute of Technology, 165 Koen-cho, Kitami, 090-8507, Japan (E-mail:","Department of Civil Engineering, Kitami Institute of Technology, 165 Koen-cho, Kitami, 090-8507, Japan (E-mail:"
25718,2,5-6,"Rand Afrikaans University, PO Box 524, Aucklandpark, 2006, South Africa (E-mail:","Rand Afrikaans University, PO Box 524, Aucklandpark, 2006, South Africa (E-mail:"
25734,2,5-6,"School of Civil, Urban and Geosystem Engineering, Seoul National University, San 56-1, Shilim-dong, Kwanak-gu, Seoul, Korea (E-mail:","School of Civil, Urban and Geosystem Engineering, Seoul National University, San 56-1, Shilim-dong, Kwanak-gu, Seoul, Korea (E-mail:"
25764,2,5-6,"School of Civil, Urban and Geosystem Engineering, Seoul National University, Shinrim-dong, Kwanak-Gu, Seoul, Korea (E-mail:","School of Civil, Urban and Geosystem Engineering, Seoul National University, Shinrim-dong, Kwanak-Gu, Seoul, Korea (E-mail:"
25765,2,5-6,"Water Environment Research Center, Korea Institute of Science and Technology, PO Box 131, Cheongryang, Seoul 130-650, Korea (E-mail:","Water Environment Research Center, Korea Institute of Science and Technology, PO Box 131, Cheongryang, Seoul 130-650, Korea (E-mail:"
25672,2,5-6,"Department of Civil Engineering, Kitami Institute of Technology, 165 Koen-cho, Kitami, Hokkaido, 090-8507, Japan (*E-mail:","Department of Civil Engineering, Kitami Institute of Technology, 165 Koen-cho, Kitami, Hokkaido, 090-8507, Japan (*E-mail:"
25676,2,5-6,"Vivendi Water Australia, Level 37, Gateway, 1 Macquarie Place, Sydney 2000, NSW, Australia (E-mail:","Vivendi Water Australia, Level 37, Gateway, 1 Macquarie Place, Sydney 2000, NSW, Australia (E-mail:"
25677,2,5-6,"Department of Environmental Engineering, Korea University, Jochiwon, Choongnam, 339-700 Korea","Department of Environmental Engineering, Korea University, Jochiwon, Choongnam, 339-700 Korea"
25678,2,5-6,"South East Water Limited, PO Box 1382, Moorabbin, Victoria 3189, Australia (E-mail:","South East Water Limited, PO Box 1382, Moorabbin, Victoria 3189, Australia (E-mail:"
25679,2,5-6,"United Water International Pty Ltd, 180 Greenhill Rd, Parkside, SA 5063, Australia (E-mail:","United Water International Pty Ltd, 180 Greenhill Rd, Parkside, SA 5063, Australia (E-mail:"
25680,2,5-6,Department of Environmental Engineering,Department of Environmental Engineering. (E-mail:
25683,2,5-6,"Centre for Petroleum And Environmental Organic Geochemistry, Department Of Applied Chemistry, Curtin University Of Technology, GPO Box U1987, Perth, 6001, Western Australia (E-mail:","Centre for Petroleum And Environmental Organic Geochemistry, Department Of Applied Chemistry, Curtin University Of Technology, GPO Box U1987, Perth, 6001, Western Australia (E-mail:"
25684,2,5-6,"Hanshin Water Supply Authority, 3-20-1 Nishi-okamoto, Higashinada-ku, Kobe, 658-0073 Japan (E-mail:","Hanshin Water Supply Authority, 3-20-1 Nishi-okamoto, Higashinada-ku, Kobe, 658-0073 Japan (E-mail:"
25686,2,5-6,"Australian Water Quality Centre (AWQC), CRCWQT and University of South Australia, Private Mail Bag 3, Salisbury SA 5108, Australia (E-mail:","Australian Water Quality Centre (AWQC), CRCWQT and University of South Australia, Private Mail Bag 3, Salisbury SA 5108, Australia (E-mail:"
25687,2,5-6,"Vivendi Water - Anjou Recherche, chemin de la Digue, BP76, F-78603 Maisons-Laffitte, France","Vivendi Water - Générale des Eaux - Direction Technique, 18 boulevard Malesherbes, F-75008 Paris, France (E-mail:"
25688,2,5-6,"Ecole des Mines de Nantes, GEPEA, 4, rue A. Kastler, BP 20722, 44307 Nantes cedex 3, France (E-mail:","Ecole des Mines de Nantes, GEPEA, 4, rue A. Kastler, BP 20722, 44307 Nantes cedex 3, France (E-mail:"
25689,2,5-6,"Department of Chemistry, University of Ioannina, Ioannina 45110, Greece (E-mail:","Department of Chemistry, University of Ioannina, Ioannina 45110, Greece (E-mail:"
25699,2,5-6,"Australian Water Quality Centre, PMB 3, Salisbury, SA 5108, Australia (E-mail:","Australian Water Quality Centre, PMB 3, Salisbury, SA 5108, Australia (E-mail:"
25700,2,5-6,"Department of Civil Engineering and Geosciences, Delft University of Technology, PO Box 5048, 2600 GA Delft, The Netherlands (E-mail:","Department of Civil Engineering and Geosciences, Delft University of Technology, PO Box 5048, 2600 GA Delft, The Netherlands (E-mail:"
25702,2,5-6,"Witteveen+Bos, P.O. Box 233, 7400 AE Deventer, The Netherlands (E-mail:","Witteveen+Bos, P.O. Box 233, 7400 AE Deventer, The Netherlands (E-mail:"
25713,2,5-6,"Department of Civil and Environmental Engineering, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, South Korea (E-mail:","Department of Civil and Environmental Engineering, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, South Korea (E-mail:"
25722,2,5-6,"Department of Urban Engineering, The University of Tokyo, Tokyo 113-8656, Japan","Department of Water Supply Engineering, N.I.P.H., Tokyo 108-8638, Japan (E-mails:"
25729,2,5-6,"Department of Environmental Engineering, Chungbuk National University, San 48 Kaesindong Cheongju, Seoul Korea 361-763 (E-mail:","Department of Environmental Engineering, Chungbuk National University, San 48 Kaesindong Cheongju, Seoul Korea 361-763 (E-mail:"
25731,2,5-6,"Department of Water Supply Engineering, National Institute of Public Health, 4-6-1 Shirokanedai Minato-ku, Tokyo 108-8638 Japan",NA
25735,2,5-6,Sydney Water,Sydney Water
25737,2,5-6,"School of Civil and Environmental Engineering, University of New South Wales, 2052 Australia",NA
25738,2,5-6,"Australian Water Quality Centre, SAWATER, CRCWQ&T","Australian Water Quality Centre, SAWATER, CRCWQ&T"
25742,2,5-6,"Department of Environmental Science and Technology, Kwangju Institute of Science and Technology (K-JIST), 1 Oryong-dong, Buk-gu, Gwangju 500-712, Korea (E-mail:","Department of Environmental Science and Technology, Kwangju Institute of Science and Technology (K-JIST), 1 Oryong-dong, Buk-gu, Gwangju 500-712, Korea (E-mail:"
25747,2,5-6,"Department of Civil Engineering and Urban Design, Osaka Institute of Technology Omiya 5-16-1, Asahi-ku, Osaka 535-8585, Japan (E-mail:","Department of Civil Engineering and Urban Design, Osaka Institute of Technology Omiya 5-16-1, Asahi-ku, Osaka 535-8585, Japan (E-mail:"
25753,2,5-6,University of North Carolina at Chapel Hill,NA
25755,2,5-6,"Water Resources Research Institute, Korea Water Resources Corporation, 462-1, Jonmin-Dong, Taejon, South Korea (E-mail:","Water Resources Research Institute, Korea Water Resources Corporation, 462-1, Jonmin-Dong, Taejon, South Korea (E-mail:"
25695,3,1-2,"Hunter Water Australia Pty Ltd, PO Box 317, HRMC, New South Wales 2310, Australia (E-mail:","Hunter Water Australia Pty Ltd, PO Box 317, HRMC, New South Wales 2310, Australia (E-mail:"
25698,3,1-2,"Department of Social Systems Engineering, Tottori University, Koyama Tottori, 680-8552 Japan",NA
25789,3,1-2,"TU Dresden, Lehrstuhl Stadtbauwesen, Nürnberger Straß 31A, D-01187 Dresden, Germany (E-mail:","TU Dresden, Lehrstuhl Stadtbauwesen, Nürnberger Straß 31A, D-01187 Dresden, Germany (E-mail:"
25817,3,1-2,"University of Exeter, Devon EX4 4QF, UK (E-mail:","University of Exeter, Devon EX4 4QF, UK (E-mail:"
25705,3,1-2,"Polytechnic Institute of Leiria, ESTG, Morro do Lena, Alto Vieiro, 2401-951 Leiria, Portugal (E-mail:","Polytechnic Institute of Leiria, ESTG, Morro do Lena, Alto Vieiro, 2401-951 Leiria, Portugal (E-mail:"
