paperid,volume,issue,paper_url,journal,title,published_year,is_supp,num_supp,supp_file_type,supp_url,num_authors,first_author_name,first_author_affiliation,first_author_affiliation_country,first_author_orcid,correspondence_author_name,correspondence_author_affiliation,correspondence_author_affiliation_country,correspondence_author_orcid,has_das,das,das_type,das_repo_url,keywords,doi,url_source
112026,24,6,https://iwaponline.com/jwh/article/24/6/773/112026/Community-level-wastewater-influenza,Journal of Water and Health,"Community-level wastewater influenza concentrations and school attendance in Jefferson County, Kentucky (2022–2025)",2026,TRUE,1,docx,https://doi.org/10.2166/wh.2026.223,6,Anna Dusterhoff,"Center for Healthy Air Water and Soil, Christina Lee Brown Envirome Institute, School of Medicine, University of Louisville, 302 E. Muhammad Ali Blvd., Louisville, KY 40202, USA",United States of America,https://orcid.org/0009-0008-8029-2838,Rochelle H. Holm,"Center for Healthy Air Water and Soil, Christina Lee Brown Envirome Institute, School of Medicine, University of Louisville, 302 E. Muhammad Ali Blvd., Louisville, KY 40202, USA",United States of America,https://orcid.org/0000-0001-8849-1390,TRUE,"Attendance data, reported daily by school, was provided by JCPS under a data use agreement (DUA) and are not publicly available. Researchers interested in accessing these data should contact JCPS. Wastewater data collected as part of the WastewaterSCAN/SCAN project are publicly available. The random forest code, redacted of any identifiable school information, is available at: https://github.com/CenterForHealthyAirWaterAndSoil/RandomForestProject.","Attendance data, reported daily by school, was provided by JCPS under a data use agreement (DUA) and are not publicly available. Researchers interested in accessing these data should contact JCPS. Wastewater data collected as part of the WastewaterSCAN/SCAN project are publicly available. The random forest code, redacted of any identifiable school information, is available at: https://github.com/CenterForHealthyAirWaterAndSoil/RandomForestProject.",NA,influenza; random forest; schools; sewershed; wastewater-based epidemiology,10.2166/wh.2026.223,iwaponline.com
112139,24,6,https://iwaponline.com/jwh/article/24/6/784/112139/Integrating-electrical-and-automation-risks-into,Journal of Water and Health,Integrating electrical and automation risks into water safety plans: A semi-quantitative framework and application to the Negrisiola drinking water supply system,2026,TRUE,1,docx,https://doi.org/10.2166/wh.2026.227,5,Mario Cerroni,"Environment and Health, Istituto Superiore Di Sanita, Italy",Italy,https://orcid.org/0000-0001-9959-8265,Mario Cerroni,"Environment and Health, Istituto Superiore Di Sanita, Italy",Italy,https://orcid.org/0000-0001-9959-8265,TRUE,Data cannot be made publicly available; readers should contact the corresponding author for details.,on request,NA,drinking water supply systems; electrical and automation risks; risk-based assessment; water safety plans,10.2166/wh.2026.227,iwaponline.com
111837,24,6,https://iwaponline.com/jwh/article/24/6/800/111837/Detection-and-removal-methods-of-antibiotic,Journal of Water and Health,Detection and removal methods of antibiotic-resistance genes in drinking water sources: a review,2026,FALSE,0,NA,NA,4,Meng Du,"Beijing Waterworks Group Aqualntelligence Technology Development Co., Ltd, Beijing 100000, China",China,https://orcid.org/0009-0008-5237-8191,Meng Du,"Beijing Waterworks Group Aqualntelligence Technology Development Co., Ltd, Beijing 100000, China",China,https://orcid.org/0009-0008-5237-8191,TRUE,"No new data were generated or analyzed in this review article. All information discussed in this manuscript was obtained from previously published studies, which are cited in the reference list.","No new data were generated or analyzed in this review article. All information discussed in this manuscript was obtained from previously published studies, which are cited in the reference list.",NA,advanced oxidation processes; ARGs; biological treatment; drinking water environment; elimination methods; risk assessment,10.2166/wh.2026.236,iwaponline.com
112147,24,6,https://iwaponline.com/jwh/article/24/6/830/112147/Assessing-long-term-specific-pollutant-loads-in,Journal of Water and Health,Assessing long-term specific pollutant loads in municipal wastewater plants influent using monitoring data: A case study from Latvia,2026,TRUE,1,docx,https://doi.org/10.2166/wh.2026.240,4,Juris Laicans,"Water Systems and Biotechnology Institute, Riga Technical University, Kipsalas iela 6A-263, Riga, Latvia",Latvia,https://orcid.org/0000-0003-1635-2214,Juris Laicans,"Water Systems and Biotechnology Institute, Riga Technical University, Kipsalas iela 6A-263, Riga, Latvia",Latvia,https://orcid.org/0000-0003-1635-2214,TRUE,All relevant data are included in the paper or its Supplementary Information.,in paper,NA,monitoring; pollutant loads; population biomarkers; WBE,10.2166/wh.2026.240,iwaponline.com
111816,24,6,https://iwaponline.com/jwh/article/24/6/844/111816/From-plant-pathogen-to-public-health-tool-A-review,Journal of Water and Health,From plant pathogen to public health tool: A review of tobamoviruses and their role in wastewater & environmental surveillance,2026,TRUE,1,docx,https://doi.org/10.2166/wh.2026.261,9,Patrick M. D'Aoust,"Department of Civil Engineering, University of Ottawa, Ottawa, ON, Canada",Canada,https://orcid.org/0000-0002-7301-7378,Robert Delatolla,"Department of Civil Engineering, University of Ottawa, Ottawa, ON, Canada",Canada,https://orcid.org/0000-0002-5832-8637,TRUE,All relevant data are included in the paper or its Supplementary Information.,in paper,NA,fecal biomarker; tobamoviruses; wastewater-based epidemiology; wastewater environmental surveillance,10.2166/wh.2026.261,iwaponline.com
112041,24,6,https://iwaponline.com/jwh/article/24/6/867/112041/Potentially-toxic-elements-in-air-and-rainwater-in,Journal of Water and Health,Potentially toxic elements in air and rainwater in Abidjan District: a health risk assessment,2026,FALSE,0,NA,NA,7,Brou Richmond Konan,"University of Man, Geological and Mining Sciences Training and Research Unit BP 20, Man, Ivory Coast",Côte d’Ivoire,https://orcid.org/0000-0001-8381-0735,Brou Richmond Konan,"University of Man, Geological and Mining Sciences Training and Research Unit BP 20, Man, Ivory Coast",Côte d’Ivoire,https://orcid.org/0000-0001-8381-0735,TRUE,All relevant data are included in the paper or its Supplementary Information.,in paper,NA,Abidjan; aerosols; cancer; heavy metals; rain,10.2166/wh.2026.006,iwaponline.com
111838,24,6,https://iwaponline.com/jwh/article/24/6/887/111838/Norovirus-wastewater-monitoring-during-a-community,Journal of Water and Health,Norovirus wastewater monitoring during a community outbreak investigation in Pennsylvania,2026,TRUE,2,docx & xlsx,https://doi.org/10.2166/wh.2026.034,9,Shannon McGinnis,"Pennsylvania Department of Health, Bureau of Epidemiology, Harrisburg, PA, USA",United States of America,https://orcid.org/0000-0003-0504-2878,Shannon McGinnis,"Pennsylvania Department of Health, Bureau of Epidemiology, Harrisburg, PA, USA",United States of America,https://orcid.org/0000-0003-0504-2878,TRUE,Data cannot be made publicly available; readers should contact the corresponding author for details.,on request,NA,epidemiology; norovirus; outbreak investigation; wastewater surveillance,10.2166/wh.2026.034,iwaponline.com
112042,24,6,https://iwaponline.com/jwh/article/24/6/896/112042/Socioeconomic-and-attitudinal-predictors-of,Journal of Water and Health,Socioeconomic and attitudinal predictors of bottled water use among lower-income households in Southwest Virginia,2026,FALSE,0,NA,NA,5,Bethesda O'Connell,"Department of Community and Behavioral Health, East Tennessee State University, Johnson City, Tennessee, USA",United States of America,https://orcid.org/0000-0002-6150-876X,Bethesda O'Connell,"Department of Community and Behavioral Health, East Tennessee State University, Johnson City, Tennessee, USA",United States of America,https://orcid.org/0000-0002-6150-876X,TRUE,Data cannot be made publicly available; readers should contact the corresponding author for details.,on request,NA,rural water insecurity; socioeconomic factors; water quality perception,10.2166/wh.2026.036,iwaponline.com
112115,24,6,https://iwaponline.com/jwh/article/24/6/905/112115/Escherichia-coli-in-water-samples-at-Bhutan-s,Journal of Water and Health,Escherichia coli in water samples at Bhutan's National Food Testing Laboratory: baseline findings and scoping for antimicrobial resistance surveillance,2026,FALSE,0,NA,NA,7,Norbu Jamtsho,"NationalFood Testing Laboratory, Bhutan Food and Drug Authority, Ministry of Health, Royal Government of Bhutan, Yusipang, Thimphu, Bhutan",Bhutan,https://orcid.org/0009-0007-9095-1131,Norbu Jamtsho,"NationalFood Testing Laboratory, Bhutan Food and Drug Authority, Ministry of Health, Royal Government of Bhutan, Yusipang, Thimphu, Bhutan",Bhutan,https://orcid.org/0009-0007-9095-1131,TRUE,Data cannot be made publicly available; readers should contact the corresponding author for details.,on request,NA,antimicrobial resistance; Bhutan; Escherichia coli; regulation; surveillance; water,10.2166/wh.2026.052,iwaponline.com
1828,1,2,https://iwaponline.com/jwh/article/1/2/53/1828/Estimating-the-global-burden-of-thalassogenic,Journal of Water and Health,Estimating the global burden of thalassogenic diseases: human infectious diseases caused by wastewater pollution of the marine environment,2003,FALSE,0,NA,NA,1,Hillel Shuval,"Fredy and Nadine Herrmann School of Applied Sciences, The Hebrew University of Jerusalem, and consultant to Division on the Protection of Human Environment, WHO, Geneva",NA,NA,Hillel Shuval,"Fredy and Nadine Herrmann School of Applied Sciences, The Hebrew University of Jerusalem, and consultant to Division on the Protection of Human Environment, WHO, Geneva",NA,NA,FALSE,NA,NA,NA,disability adjusted life years (DALY); gastroenteritis; global burden of disease (GBD); infectious diseases; infectious hepatitis; marine/ocean pollution; pathogenic bacteria/viruses; respiratory infections; sea bathing; shellfish,10.2166/wh.2003.0007,iwaponline.com
1829,1,2,https://iwaponline.com/jwh/article/1/2/65/1829/Drinking-water-and-diarrhoeal-disease-due-to,Journal of Water and Health,Drinking water and diarrhoeal disease due to Escherichia coli,2003,FALSE,0,NA,NA,1,Paul R. Hunter,"School of Medicine, Health Policy and Practice, University of East Anglia, Norwich NR4 7TJ, UK",United Kingdom of Great Britain and Northern Ireland,NA,Paul R. Hunter,"School of Medicine, Health Policy and Practice, University of East Anglia, Norwich NR4 7TJ, UK",United Kingdom of Great Britain and Northern Ireland,NA,FALSE,NA,NA,NA,diarrhoea; Escherichia coli; virulence; waterborne disease,10.2166/wh.2003.0008,iwaponline.com
1830,1,2,https://iwaponline.com/jwh/article/1/2/73/1830/Evaluation-of-a-new-water-treatment-for-point-of,Journal of Water and Health,Evaluation of a new water treatment for point-of-use household applications to remove microorganisms and arsenic from drinking water,2003,FALSE,0,NA,NA,11,Philip F. Souter,"Procter & Gamble Health Sciences Institute, PO Forest Hall No. 2, Whitley Road, Longbenton, Newcastle upon Tyne, NE12 9TS, UK",United Kingdom of Great Britain and Northern Ireland,NA,Bruce H. Keswick,"The Procter & Gamble Health Sciences Institute, 8700 Mason-Montgomery Rd, Mason, OH 45440, USA",United States of America,NA,FALSE,NA,NA,NA,arsenic; chlorine; developing country; disinfectant; drinking water; microorganisms; point-of-use,10.2166/wh.2003.0009,iwaponline.com
1831,1,2,https://iwaponline.com/jwh/article/1/2/85/1831/Relationship-between-rainfall-and-beach-bacterial,Journal of Water and Health,Relationship between rainfall and beach bacterial concentrations on Santa Monica Bay beaches,2003,FALSE,0,NA,NA,2,Drew Ackerman,"Southern California Coastal Water Research Project, 7171 Fenwick Lane, Westminster, CA 92683, USA",United States of America,NA,Stephen B. Weisberg,"Southern California Coastal Water Research Project, 7171 Fenwick Lane, Westminster, CA 92683, USA",United States of America,NA,FALSE,NA,NA,NA,bacteria; beach water quality; rainfall,10.2166/wh.2003.0010,iwaponline.com
1832,1,2,https://iwaponline.com/jwh/article/1/2/91/1832/Indigenous-bacterial-spores-as-indicators-of,Journal of Water and Health,Indigenous bacterial spores as indicators of Cryptosporidium inactivation using chlorine dioxide,2003,FALSE,0,NA,NA,4,Sophie Verhille,"Department of Civil Engineering, University of Toronto, 35 St George Street, Toronto, Ontario, Canada M5S 1A4",Canada,NA,Christian Chauret,"Biological and Physical Sciences Unit, Indiana University Kokomo, 2300 South Washington Street, Kokomo, IN 46904-9003, USA",United States of America,NA,FALSE,NA,NA,NA,Bacillus; chlorine dioxide; Cryptosporidium; disinfection; drinking water; spores,10.2166/wh.2003.0011,iwaponline.com
1793,1,3,https://iwaponline.com/jwh/article/1/3/101/1793/The-effect-of-container-biofilm-on-the,Journal of Water and Health,The effect of container-biofilm on the microbiological quality of water used from plastic household containers,2003,FALSE,0,NA,NA,3,P. Jagals,"Water and Health Research, Technikon Witwatersrand, PO Box 17011, Doornfontein, 2028, South Africa E-mail:",South Africa,NA,P. Jagals,"Water and Health Research, Technikon Witwatersrand, PO Box 17011, Doornfontein, 2028, South Africa E-mail:",South Africa,NA,FALSE,NA,NA,NA,biofilm; Clostridium perfringens; E. coli; total coliforms; turbidity; water-storage containers,10.2166/wh.2003.0012,iwaponline.com
1794,1,3,https://iwaponline.com/jwh/article/1/3/109/1794/Faecal-contamination-of-drinking-water-during,Journal of Water and Health,Faecal contamination of drinking water during collection and household storage: the need to extend protection to the point of use,2003,FALSE,0,NA,NA,2,Thomas F. Clasen,"London School of Hygiene & Tropical Medicine, Keppel St, London WC1E 7HT, UK",United Kingdom of Great Britain and Northern Ireland,NA,Thomas F. Clasen,"London School of Hygiene & Tropical Medicine, Keppel St, London WC1E 7HT, UK",United Kingdom of Great Britain and Northern Ireland,NA,FALSE,NA,NA,NA,collection; contamination; household; point-of-use; storage; water,10.2166/wh.2003.0013,iwaponline.com
1795,1,3,https://iwaponline.com/jwh/article/1/3/117/1795/Confirmed-detection-of-Cyclospora-cayetanesis,Journal of Water and Health,"Confirmed detection of Cyclospora cayetanesis, Encephalitozoon intestinalis and Cryptosporidium parvum in water used for drinking",2003,FALSE,0,NA,NA,10,Scot E. Dowd,"United States Department of Agriculture, Agricultural Research Service, Livestock Issues Unit, Texas Technological University, Lubbock, TX 79409, USA",United States of America,NA,Charles P. Gerba,"Department of Soil, Water and Environmental Science, University of Arizona, Tucson, AZ 85721, USA",United States of America,NA,FALSE,NA,NA,NA,Cryptosporidium parvum; Cyclospora cayetanesis; drinking water; Encephalitozoon intestinalis; microsporidia,10.2166/wh.2003.0014,iwaponline.com
1796,1,3,https://iwaponline.com/jwh/article/1/3/125/1796/Application-and-refinement-of-the-WHO-risk,Journal of Water and Health,"Application and refinement of the WHO risk framework for recreational waters in Sydney, Australia",2003,FALSE,0,NA,NA,2,N. J. Ashbolt,"School of Civil and Environmental Engineering, UNSW-Sydney, NSW 2052, Australia",Australia,NA,N. J. Ashbolt,"School of Civil and Environmental Engineering, UNSW-Sydney, NSW 2052, Australia",Australia,NA,FALSE,NA,NA,NA,Annapolis Protocol; bathing water; enterococci; microbial risk assessment,10.2166/wh.2003.0015,iwaponline.com
1797,1,3,https://iwaponline.com/jwh/article/1/3/133/1797/Nontuberculous-mycobacteria-in-hospital-water,Journal of Water and Health,Nontuberculous mycobacteria in hospital water systems: application of HPLC for identification of environmental mycobacteria,2003,FALSE,0,NA,NA,6,L. Galassi,"Dipartimento Sanità Pubblica, Università di Firenze, Viale GB Morgagni 48, I50134 Florence, Italy",Italy,NA,R. Donato,"Dipartimento Sanità Pubblica, Università di Firenze, Viale GB Morgagni 48, I50134 Florence, Italy",Italy,NA,FALSE,NA,NA,NA,hospital; HPLC; nontuberculous mycobacteria; water,10.2166/wh.2003.0016,iwaponline.com
1557,1,4,https://iwaponline.com/jwh/article/1/4/141/1557/Evaluation-of-microbial-source-tracking-methods,Journal of Water and Health,Evaluation of microbial source tracking methods using mixed fecal sources in aqueous test samples,2003,FALSE,0,NA,NA,3,John F. Griffith,"Southern California Coastal Water Research Project, Westminster, CA 92683, USA and University of Southern California, Los Angeles, CA 90089, USA",United States of America,NA,Stephen B. Weisberg,"Southern California Coastal Water Research Project, Westminster, CA 92683, USA",United States of America,NA,FALSE,NA,NA,NA,coliform; enterococcus; fecal contamination; microbial source tracking; water quality,10.2166/wh.2003.0017,iwaponline.com
1559,1,4,https://iwaponline.com/jwh/article/1/4/153/1559/Phenotypic-library-based-microbial-source-tracking,Journal of Water and Health,Phenotypic library-based microbial source tracking methods: Efficacy in the California collaborative study,2003,FALSE,0,NA,NA,10,Valerie J. Harwood,"Department of Biology, SCA 110, University of South Florida, 4202 E. Fowler Ave, Tampa, FL 33620, USA",United States of America,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,E.coli; Enterococcus; fecal coliform; fecal pollution; indicator organism; water quality,10.2166/wh.2003.0018,iwaponline.com
1560,1,4,https://iwaponline.com/jwh/article/1/4/167/1560/Comparison-of-genotypic-based-microbial-source,Journal of Water and Health,Comparison of genotypic-based microbial source tracking methods requiring a host origin database,2003,FALSE,0,NA,NA,11,Samuel P. Myoda,"820 Silver Lake Blvd, Suite 220, Dover, DE 19904-2464, USA",United States of America,NA,Samuel P. Myoda,"820 Silver Lake Blvd, Suite 220, Dover, DE 19904-2464, USA",United States of America,NA,FALSE,NA,NA,NA,Escherichia coli; fecal enterococci; pulsed field gel electrophoresis; rep-PCR; ribotyping,10.2166/wh.2003.0019,iwaponline.com
1562,1,4,https://iwaponline.com/jwh/article/1/4/181/1562/A-comparative-study-of-culture-independent-library,Journal of Water and Health,"A comparative study of culture-independent, library-independent genotypic methods of fecal source tracking",2003,FALSE,0,NA,NA,9,Katharine G. Field,"Department of Microbiology, 220 Nash Hall, Oregon State University, Corvallis, OR 97331, USA",United States of America,NA,Katharine G. Field,"Department of Microbiology, 220 Nash Hall, Oregon State University, Corvallis, OR 97331, USA",United States of America,NA,FALSE,NA,NA,NA,Bacteroides; culture-independent; fecal source tracking; microbial source tracking,10.2166/wh.2003.0020,iwaponline.com
1563,1,4,https://iwaponline.com/jwh/article/1/4/195/1563/Use-of-viral-pathogens-and-indicators-to,Journal of Water and Health,Use of viral pathogens and indicators to differentiate between human and non-human fecal contamination in a microbial source tracking comparison study,2003,FALSE,0,NA,NA,9,Rachel T. Noble,"UNC-Chapel Hill Institute of Marine Sciences, 3431 Arendell St, Morehead City, NC 28557, USA",United States of America,NA,Rachel T. Noble,"UNC-Chapel Hill Institute of Marine Sciences, 3431 Arendell St, Morehead City, NC 28557, USA",United States of America,NA,FALSE,NA,NA,NA,bacterial indicators; coliphage; fecal; polymerase chain reaction; viral indicators,10.2166/wh.2003.0021,iwaponline.com
1564,1,4,https://iwaponline.com/jwh/article/1/4/209/1564/Assessment-of-statistical-methods-used-in-library,Journal of Water and Health,Assessment of statistical methods used in library-based approaches to microbial source tracking,2003,FALSE,0,NA,NA,13,Kerry J. Ritter,"Southern California Coastal Water Research Project, Westminster, CA 92863, USA",United States of America,NA,Kerry J. Ritter,"Southern California Coastal Water Research Project, Westminster, CA 92863, USA",United States of America,NA,FALSE,NA,NA,NA,discriminant analysis; fecal coliform; microbial source tracking; similarity; statistical analysis; water quality,10.2166/wh.2003.0022,iwaponline.com
1566,1,4,https://iwaponline.com/jwh/article/1/4/225/1566/Recommendations-for-microbial-source-tracking,Journal of Water and Health,Recommendations for microbial source tracking: Lessons from a methods comparison study,2003,FALSE,0,NA,NA,6,Jill R. Stewart,"National Oceanic and Atmospheric Administration, 219 Ft Johnson Rd, Charleston, SC 29412-9110, USA",United States of America,NA,Jill R. Stewart,"National Oceanic and Atmospheric Administration, 219 Ft Johnson Rd, Charleston, SC 29412-9110, USA",United States of America,NA,FALSE,NA,NA,NA,coliform; fecal contamination; microbial source tracking; water quality,10.2166/wh.2003.0023,iwaponline.com
1854,2,1,https://iwaponline.com/jwh/article/2/1/1/1854/A-systematic-review-of-the-health-outcomes-related,Journal of Water and Health,A systematic review of the health outcomes related to household water quality in developing countries,2004,FALSE,0,NA,NA,3,Stephen Gundry,"Water and Environmental Management Research Centre, University of Bristol, 83 Woodland Road, Bristol BS8 1US, UK",United Kingdom of Great Britain and Northern Ireland,NA,Stephen Gundry,"Water and Environmental Management Research Centre, University of Bristol, 83 Woodland Road, Bristol BS8 1US, UK",United Kingdom of Great Britain and Northern Ireland,NA,FALSE,NA,NA,NA,coliform bacilli; developing countries; diarrhoea; meta-analysis; water microbiology,10.2166/wh.2004.0001,iwaponline.com
1855,2,1,https://iwaponline.com/jwh/article/2/1/15/1855/A-comparison-of-the-survival-of-F-RNA-and-F-DNA,Journal of Water and Health,A comparison of the survival of F+RNA and F+DNA coliphages in lake water microcosms,2004,FALSE,0,NA,NA,2,Sharon C. Long,"Civil and Environmental Engineering, 18 Marston Hall, University of Massachusetts, Amherst, MA 01003, USA",United States of America,NA,Sharon C. Long,"Civil and Environmental Engineering, 18 Marston Hall, University of Massachusetts, Amherst, MA 01003, USA",United States of America,NA,FALSE,NA,NA,NA,coliphage; drinking water; indicator; survival,10.2166/wh.2004.0002,iwaponline.com
1856,2,1,https://iwaponline.com/jwh/article/2/1/23/1856/Fluorides-in-groundwater-soil-and-infused-black,Journal of Water and Health,"Fluorides in groundwater, soil and infused black tea and the occurrence of dental fluorosis among school children of the Gaza Strip",2004,FALSE,0,NA,NA,5,B. Shomar,"Institute of Environmental Geochemistry, University of Heidelberg, Im Neuenheimer Feld 236, 69120 Heidelberg, Germany",Germany,NA,B. Shomar,"Institute of Environmental Geochemistry, University of Heidelberg, Im Neuenheimer Feld 236, 69120 Heidelberg, Germany",Germany,NA,FALSE,NA,NA,NA,dental fluorosis; Gaza Strip; soil fluoride; tea; water fluoride,10.2166/wh.2004.0003,iwaponline.com
