paperid,volume,issue,paper_url,journal,title,published_year,is_supp,num_supp,supp_file_type,supp_url,num_authors,first_author_name,first_author_affiliation,first_author_affiliation_country,first_author_orcid,correspondence_author_name,correspondence_author_affiliation,correspondence_author_affiliation_country,correspondence_author_orcid,has_das,das,das_type,das_repo_url,das_repo_name,keywords,url_source,doi,article_type,publication_date
10.1371/journal.pwat.0000478,4,12,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000478,PLOS Water,"Bridging water, health and climate: A call to action",2025,FALSE,0,NA,NA,14,Isabell Hedke,"Scientific Programme Committee, World Water Week, Stockholm, Sweden",Sweden,https://orcid.org/0009-0008-1366-1971,Isabell Hedke,"Scientific Programme Committee, World Water Week, Stockholm, Sweden",Sweden,https://orcid.org/0009-0008-1366-1971,FALSE,NA,NA,NA,NA,/Biology and life sciences/Ecology/Community ecology/Ecological risk; /Ecology and environmental sciences/Ecology/Community ecology/Ecological risk; /Ecology and environmental sciences/Natural resources/Water resources; /Ecology and environmental sciences/Sustainability science; /Medicine and health sciences/Epidemiology/Medical risk factors; /Medicine and health sciences/Health care/Socioeconomic aspects of health; /Medicine and health sciences/Public and occupational health; /Medicine and health sciences/Public and occupational health/Socioeconomic aspects of health; /Social sciences/Political science/Political aspects of health; /Social sciences/Political science/Public policy,journals.plos.org,10.1371/journal.pwat.0000478,Opinion,2025-12-05
10.1371/journal.pwat.0000480,4,12,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000480,PLOS Water,The need for strategic water actions within planetary boundaries,2025,FALSE,0,NA,NA,2,Petr Vesnovskii,"Stockholm Resilience Centre, Stockholm University, Stockholm, Sweden",Sweden,https://orcid.org/0000-0003-1832-4241,Petr Vesnovskii,"Stockholm Resilience Centre, Stockholm University, Stockholm, Sweden",Sweden,https://orcid.org/0000-0003-1832-4241,FALSE,NA,NA,NA,NA,/Biology and life sciences/Ecology/Biodiversity; /Earth sciences/Hydrology/Surface water; /Earth sciences/Marine and aquatic sciences/Aquatic environments/Freshwater environments/Fresh water; /Ecology and environmental sciences/Aquatic environments/Freshwater environments/Fresh water; /Ecology and environmental sciences/Ecology/Biodiversity; /Ecology and environmental sciences/Pollution/Water pollution; /Engineering and technology/Remote sensing; /Medicine and health sciences/Epidemiology/Medical risk factors; /Science policy/Technology regulations; /Social sciences/Law and legal sciences/Regulations,journals.plos.org,10.1371/journal.pwat.0000480,Opinion,2025-12-08
10.1371/journal.pwat.0000486,5,2,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000486,PLOS Water,"Connecting narratives and numbers to investigate the interaction of social, physical and technical determinants of rural water supply performance",2026,TRUE,7,docx; docx; vnd.openxmlformats-officedocument.wordprocessingml.document; vnd.openxmlformats-officedocument.wordprocessingml.document; vnd.openxmlformats-officedocument.wordprocessingml.document; vnd.openxmlformats-officedocument.wordprocessingml.document; vnd.openxmlformats-officedocument.wordprocessingml.document,https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000486.s001&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000486.s002&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000486.s004&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000486.s007&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000486.s005&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000486.s006&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000486.s008&type=supplementary,23,Donald John MacAllister,"British Geological Survey, The Lyell Centre, Edinburgh, United Kingdom of Great Britian and Northern Ireland",NA,https://orcid.org/0000-0001-8893-9634,Donald John MacAllister,"British Geological Survey, The Lyell Centre, Edinburgh, United Kingdom of Great Britian and Northern Ireland",NA,https://orcid.org/0000-0001-8893-9634,TRUE,All data is available online. The physical and technical data used in the analysis can be found at the following location: 10.5285/cdbca137-0bb3-4281-b872-399a4df8e946 The social data used in the analysis can be found at the following location: 10.5255/UKDA-SN-854314.,available in online repository,https://doi.org/10.5285/cdbca137-0bb3-4281-b872-399a4df8e946; https://doi.org/10.5255/UKDA-SN-854314; 10.5285/cdbca137-0bb3-4281-b872-399a4df8e946; 10.5255/UKDA-SN-854314,NA,/Ecology and environmental sciences/Natural resources/Water resources; /Engineering and technology/Environmental engineering/Water management; /People and places/Geographical locations/Africa/Ethiopia; /People and places/Geographical locations/Africa/Malawi; /People and places/Geographical locations/Africa/Uganda; /Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis; /Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis; /Social sciences; /Social sciences/Economics/Finance,journals.plos.org,10.1371/journal.pwat.0000486,Research Article,2026-02-17
10.1371/journal.pwat.0000516,5,2,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000516,PLOS Water,Broadening the dimensions of the Water-Energy-Food (WEF) nexus: A narrative review,2026,TRUE,1,xlsx,https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000516.s001&type=supplementary,10,Tafadzwanashe Mabhaudhi,"Department of Population Health, Centre on Climate Change and Planetary Health, London School of Health & Tropical Medicine, London, United Kingdom",United Kingdom of Great Britain and Northern Ireland,https://orcid.org/0000-0002-9323-8127,Tafadzwanashe Mabhaudhi,"Department of Population Health, Centre on Climate Change and Planetary Health, London School of Health & Tropical Medicine, London, United Kingdom",United Kingdom of Great Britain and Northern Ireland,https://orcid.org/0000-0002-9323-8127,FALSE,NA,NA,NA,NA,/Biology and life sciences/Ecology/Biodiversity; /Biology and life sciences/Ecology/Ecosystems; /Biology and life sciences/Nutrition/Diet/Food; /Earth sciences/Atmospheric science/Climatology/Climate change; /Ecology and environmental sciences/Ecology/Biodiversity; /Ecology and environmental sciences/Ecology/Ecosystems; /Ecology and environmental sciences/Pollution/Water pollution; /Ecology and environmental sciences/Sustainability science; /Medicine and health sciences/Health care/Environmental health; /Medicine and health sciences/Health care/Socioeconomic aspects of health; /Medicine and health sciences/Nutrition/Diet/Food; /Medicine and health sciences/Public and occupational health/Environmental health; /Medicine and health sciences/Public and occupational health/Socioeconomic aspects of health,journals.plos.org,10.1371/journal.pwat.0000516,Review,2026-02-18
10.1371/journal.pwat.0000455,5,2,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000455,PLOS Water,"Rainfall can reduce risk of enteric pathogen exposure and child GI infection: Evidence from a QMRA analysis in Kibera, Kenya",2026,TRUE,2,docx; docx,https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000455.s001&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000455.s002&type=supplementary,3,Syed Anjerul Islam,"Department of Environmental Sciences and Engineering, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States of America",United States of America,https://orcid.org/0000-0002-8956-1458,Joe Brown,"Department of Environmental Sciences and Engineering, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States of America",United States of America,https://orcid.org/0000-0002-5200-4148,TRUE,All data and code are publicly accessible at https://osf.io/ztmy2/,available in online repository,https://osf.io/ztmy2/,osf,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Bacterial pathogens; /Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Bacterial pathogens/Escherichia coli; /Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Bacterial pathogens/Vibrio cholerae; /Biology and life sciences/Organisms/Bacteria/Enterobacteriaceae/Escherichia/Escherichia coli; /Biology and life sciences/Organisms/Bacteria/Gut bacteria/Escherichia/Escherichia coli; /Biology and life sciences/Organisms/Bacteria/Vibrio/Vibrio cholerae; /Medicine and health sciences/Epidemiology/Medical risk factors; /Medicine and health sciences/Gastroenterology and hepatology/Gastroenteritis/Bacterial gastroenteritis/Shigellosis; /Medicine and health sciences/Health care/Environmental health/Sanitation; /Medicine and health sciences/Medical conditions/Infectious diseases/Bacterial diseases/Bacterial gastroenteritis/Shigellosis; /Medicine and health sciences/Medical conditions/Tropical diseases/Neglected tropical diseases/Bacterial gastroenteritis/Shigellosis; /Medicine and health sciences/Pathology and laboratory medicine/Pathogens; /Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Bacterial pathogens; /Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Bacterial pathogens/Escherichia coli; /Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Bacterial pathogens/Vibrio cholerae; /Medicine and health sciences/Public and occupational health; /Medicine and health sciences/Public and occupational health/Environmental health/Sanitation; /Research and analysis methods/Animal studies/Experimental organism systems/Model organisms/Escherichia coli; /Research and analysis methods/Animal studies/Experimental organism systems/Prokaryotic models/Escherichia coli; /Research and analysis methods/Model organisms/Escherichia coli,journals.plos.org,10.1371/journal.pwat.0000455,Research Article,2026-02-19
10.1371/journal.pwat.0000505,5,2,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000505,PLOS Water,Socially responsive water adaptation planning: Lessons from community-informed water modeling in Bolivia and Cambodia,2026,FALSE,0,NA,NA,6,Laura Forni,"Water Program, Stockholm Environment Institute, Somerville, Massachusetts, United States of America",United States of America,https://orcid.org/0000-0001-9062-0614,Laura Forni,"Water Program, Stockholm Environment Institute, Somerville, Massachusetts, United States of America",United States of America,https://orcid.org/0000-0001-9062-0614,FALSE,NA,NA,NA,NA,/Biology and life sciences/Agriculture/Agricultural methods/Agricultural irrigation; /Biology and life sciences/Organisms/Eukaryota/Plants/Grasses/Rice; /Earth sciences/Atmospheric science/Climatology/Climate change; /Earth sciences/Geography/Geographic areas/Rural areas; /Earth sciences/Hydrology/Surface water; /Ecology and environmental sciences/Natural resources/Water resources; /Engineering and technology/Civil engineering/Transportation infrastructure/Canals; /Engineering and technology/Environmental engineering/Water management; /Engineering and technology/Transportation/Transportation infrastructure/Canals; /Research and analysis methods/Animal studies/Experimental organism systems/Plant and algal models/Rice,journals.plos.org,10.1371/journal.pwat.0000505,Essay,2026-02-11
10.1371/journal.pwat.0000506,5,2,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000506,PLOS Water,Disciplining sanitation: Interrogating disciplinary narratives of inequalities in access to sanitation,2026,FALSE,0,NA,NA,4,Virginia Roaf,"School of Civil Engineering, University of Leeds, Leeds, United Kingdom",United Kingdom of Great Britain and Northern Ireland,https://orcid.org/0000-0002-5360-708X,Virginia Roaf,"School of Civil Engineering, University of Leeds, Leeds, United Kingdom",United Kingdom of Great Britain and Northern Ireland,https://orcid.org/0000-0002-5360-708X,FALSE,NA,NA,NA,NA,/Engineering and technology/Sanitary engineering; /Medicine and health sciences/Epidemiology/Medical risk factors; /Medicine and health sciences/Health care/Environmental health/Sanitation; /Medicine and health sciences/Health care/Health economics; /Medicine and health sciences/Public and occupational health; /Medicine and health sciences/Public and occupational health/Environmental health/Sanitation; /Social sciences; /Social sciences/Economics/Development economics/Economic development; /Social sciences/Economics/Health economics; /Social sciences/Philosophy/Human rights,journals.plos.org,10.1371/journal.pwat.0000506,Essay,2026-02-11
10.1371/journal.pwat.0000194,3,1,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000194,PLOS Water,Geologic predictors of drinking water well contamination in North Carolina,2024,TRUE,3,pdf; xlsx; xlsx,https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000194.s001&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000194.s002&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000194.s003&type=supplementary,11,Taylor R. Alvarado,"Department of Crop and Soil Sciences, North Carolina State University, Raleigh, North Carolina, United States of America",United States of America,NA,Robert E. Austin,"Department of Crop and Soil Sciences, North Carolina State University, Raleigh, North Carolina, United States of America",United States of America,NA,TRUE,"Census-tract and county -level datasets constructed from the NCWELL database are available online at https://doi.org/10.15139/S3/BDQG9O [13,15]. The base map of North Carolina is available from https://www.nconemap.gov/. All other data associated with this paper are included in the supporting information.",available in online repository,https://doi.org/10.15139/S3/BDQG9O; https://www.nconemap.gov/; 10.15139/S3/BDQG9O,NA,/Earth sciences/Geography/Historical geography; /Earth sciences/Geology; /Earth sciences/Geology/Metamorphic geology; /Earth sciences/Geology/Sedimentary geology; /Earth sciences/Geology/Volcanology/Volcanoes; /Earth sciences/Geomorphology/Topography/Landforms/Mountains; /Ecology and environmental sciences/Natural resources/Water resources; /Ecology and environmental sciences/Terrestrial environments/Mountains; /People and places/Geographical locations/North America/United States/North Carolina,journals.plos.org,10.1371/journal.pwat.0000194,Research Article,2024-01-11
10.1371/journal.pwat.0000164,3,1,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000164,PLOS Water,Water distribution pipe lifespans: Predicting when to repair the pipes in municipal water distribution networks using machine learning techniques,2024,FALSE,0,NA,NA,3,Nacer Farajzadeh,"Faculty of Information Technology and Computer Engineering, Azarbaijan Shahid Madani University, Tabriz, Iran",Iran (Islamic Republic of),https://orcid.org/0000-0001-7590-0503,Nacer Farajzadeh,"Faculty of Information Technology and Computer Engineering, Azarbaijan Shahid Madani University, Tabriz, Iran",Iran (Islamic Republic of),https://orcid.org/0000-0001-7590-0503,TRUE,The corresponding dataset is available at: https://datadryad.org/stash/share/Zun1SmKd3ownEda9qlF4IaU3j5X-JblQreQmCF1IMoc.,available in online repository,https://datadryad.org/stash/share/Zun1SmKd3ownEda9qlF4IaU3j5X-JblQreQmCF1IMoc,dryad,/Biology and life sciences/Organisms/Eukaryota/Plants/Trees; /Computer and information sciences/Artificial intelligence/Machine learning; /Computer and information sciences/Artificial intelligence/Machine learning/Machine learning algorithms; /Ecology and environmental sciences/Natural resources/Water resources; /Engineering and technology/Civil engineering/Urban infrastructure; /Engineering and technology/Environmental engineering/Water management; /Engineering and technology/Mechanical engineering/Vibration engineering; /Physical sciences/Chemistry/Chemical reactions/Corrosion; /Physical sciences/Mathematics/Applied mathematics/Algorithms/Machine learning algorithms; /Research and analysis methods/Simulation and modeling/Algorithms/Machine learning algorithms,journals.plos.org,10.1371/journal.pwat.0000164,Research Article,2024-01-09
10.1371/journal.pwat.0000214,3,1,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000214,PLOS Water,Nitrate in drinking water and pregnancy outcomes: A narrative review of epidemiological evidence and proposed biological mechanisms,2024,FALSE,0,NA,NA,6,Hana Royal,"Health, Environment & Infection Research Unit, Department of Public Health, University of Otago, Wellington, New Zealand",New Zealand,https://orcid.org/0009-0000-6240-6143,Hana Royal,"Health, Environment & Infection Research Unit, Department of Public Health, University of Otago, Wellington, New Zealand",New Zealand,https://orcid.org/0009-0000-6240-6143,FALSE,NA,NA,NA,NA,/Biology and life sciences/Anatomy/Endocrine system/Thyroid; /Biology and life sciences/Nutrition/Diet; /Ecology and environmental sciences/Natural resources/Water resources; /Medicine and health sciences/Anatomy/Endocrine system/Thyroid; /Medicine and health sciences/Epidemiology/Medical risk factors; /Medicine and health sciences/Medical conditions/Congenital disorders/Congenital anomalies; /Medicine and health sciences/Nutrition/Diet; /Medicine and health sciences/Women's health/Maternal health/Birth/Preterm birth; /Medicine and health sciences/Women's health/Maternal health/Pregnancy; /Medicine and health sciences/Women's health/Maternal health/Pregnancy/Pregnancy complications/Preterm birth; /Medicine and health sciences/Women's health/Obstetrics and gynecology/Birth/Preterm birth; /Medicine and health sciences/Women's health/Obstetrics and gynecology/Pregnancy; /Medicine and health sciences/Women's health/Obstetrics and gynecology/Pregnancy/Pregnancy complications/Preterm birth; /Physical sciences/Chemistry/Chemical compounds/Nitrates,journals.plos.org,10.1371/journal.pwat.0000214,Review,2024-01-17
10.1371/journal.pwat.0000222,3,1,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000222,PLOS Water,"Water resource sustainability: Challenges, opportunities and research gaps in the English-speaking Caribbean Small Island Developing States",2024,FALSE,0,NA,NA,2,Michelle A. Mycoo,"Department of Geomatics Engineering and Land Management, The University of the West Indies, St. Augustine, Trinidad and Tobago",Trinidad and Tobago,https://orcid.org/0000-0002-3587-9014,Michelle A. Mycoo,"Department of Geomatics Engineering and Land Management, The University of the West Indies, St. Augustine, Trinidad and Tobago",Trinidad and Tobago,https://orcid.org/0000-0002-3587-9014,FALSE,NA,NA,NA,NA,/Earth sciences/Atmospheric science/Climatology/Climate change; /Earth sciences/Geomorphology/Topography/Landforms/Islands; /Earth sciences/Hydrology/Flooding; /Ecology and environmental sciences/Natural resources/Water resources; /Ecology and environmental sciences/Pollution/Water pollution; /Ecology and environmental sciences/Sustainability science; /Engineering and technology/Environmental engineering/Water management; /People and places/Geographical locations/North America/Caribbean,journals.plos.org,10.1371/journal.pwat.0000222,Review,2024-01-24
10.1371/journal.pwat.0000198,3,1,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000198,PLOS Water,Norovirus GII wastewater monitoring for epidemiological surveillance,2024,TRUE,1,b,https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000198.s001&type=supplementary,9,Michelle L. Ammerman,"Department of Civil and Environmental Engineering, University of Michigan, Ann Arbor, Michigan, United States of America",United States of America,https://orcid.org/0000-0002-4272-5822,Marisa C. Eisenberg,"Department of Epidemiology, School of Public Health, University of Michigan, Ann Arbor, Michigan, United States of America",United States of America,NA,TRUE,Most data for this work has been made available in the paper and in the supplementary S1 Text. Analysis code and additional data used for this work can be found at https://github.com/epimath/norovirus_gii_wastewater_monitoring.,available in online repository,https://github.com/epimath/norovirus_gii_wastewater_monitoring,github,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Caliciviruses/Norovirus; /Biology and life sciences/Organisms/Viruses/RNA viruses/Caliciviruses/Norovirus; /Biology and life sciences/Organisms/Viruses/Viral pathogens/Caliciviruses/Norovirus; /Earth sciences/Geography/Human geography/Urban geography/Cities; /Medicine and health sciences/Critical care and emergency medicine; /Medicine and health sciences/Epidemiology; /Medicine and health sciences/Epidemiology/Digital epidemiology; /Medicine and health sciences/Epidemiology/Disease surveillance; /Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Caliciviruses/Norovirus; /Medicine and health sciences/Public and occupational health; /People and places/Geographical locations/North America/United States/Michigan; /Social sciences/Human geography/Urban geography/Cities,journals.plos.org,10.1371/journal.pwat.0000198,Research Article,2024-01-18
10.1371/journal.pwat.0000218,3,1,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000218,PLOS Water,Shifting formal education toward hydrosocial and hydrorelational learning,2024,FALSE,0,NA,NA,3,Dena W. McMartin,"Department of Geography and Environment, University of Lethbridge, Lethbridge, Canada",Canada,https://orcid.org/0000-0002-0824-0565,Dena W. McMartin,"Department of Geography and Environment, University of Lethbridge, Lethbridge, Canada",Canada,https://orcid.org/0000-0002-0824-0565,FALSE,NA,NA,NA,NA,/Biology and life sciences/Ecology/Ecosystems/Ecosystem functioning; /Biology and life sciences/Neuroscience/Cognitive science/Cognitive psychology/Learning/Human learning; /Biology and life sciences/Neuroscience/Learning and memory/Learning/Human learning; /Biology and life sciences/Psychology/Cognitive psychology/Learning/Human learning; /Earth sciences/Atmospheric science/Climatology/Climate change; /Earth sciences/Hydrology/Flooding; /Earth sciences/Marine and aquatic sciences/Aquatic environments/Freshwater environments/Fresh water; /Ecology and environmental sciences/Aquatic environments/Freshwater environments/Fresh water; /Ecology and environmental sciences/Ecology/Ecosystems/Ecosystem functioning; /Ecology and environmental sciences/Natural resources/Water resources; /Ecology and environmental sciences/Sustainability science; /Social sciences; /Social sciences/Psychology/Cognitive psychology/Learning/Human learning,journals.plos.org,10.1371/journal.pwat.0000218,Opinion,2024-01-18
10.1371/journal.pwat.0000160,2,12,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000160,PLOS Water,"Understanding contemporary challenges for water security in Ulaanbaatar, a semi-arid region in Mongolia",2023,TRUE,1,docx,https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000160.s001&type=supplementary,1,Elena Gordillo Fuertes,"Masters of Public Policy and Global Affairs, University of British Columbia, Institute of Asian Research, Vancouver, Canada",Canada,https://orcid.org/0000-0002-2597-4317,Elena Gordillo Fuertes,"Masters of Public Policy and Global Affairs, University of British Columbia, Institute of Asian Research, Vancouver, Canada",Canada,https://orcid.org/0000-0002-2597-4317,TRUE,All data used in this assessment are openly accessible through the sources cited in the paper.,in paper,NA,NA,/Earth sciences/Hydrology/Flooding; /Earth sciences/Hydrology/Surface water; /Earth sciences/Marine and aquatic sciences/Aquatic environments/Freshwater environments/Rivers; /Earth sciences/Marine and aquatic sciences/Bodies of water/Rivers; /Ecology and environmental sciences/Aquatic environments/Freshwater environments/Rivers; /Ecology and environmental sciences/Natural resources/Water resources; /Ecology and environmental sciences/Pollution/Water pollution; /Ecology and environmental sciences/Water quality; /People and places/Geographical locations/Asia/Mongolia; /Social sciences/Political science/National security,journals.plos.org,10.1371/journal.pwat.0000160,Research Article,2023-12-08
10.1371/journal.pwat.0000212,2,12,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000212,PLOS Water,Correction: Convergence of mechanistic modeling and artificial intelligence in hydrologic science and engineering,2023,FALSE,0,NA,NA,1,NA NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,journals.plos.org,10.1371/journal.pwat.0000212,Correction,2023-12-19
10.1371/journal.pwat.0000197,2,11,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000197,PLOS Water,Irish surface water response to the 2018 drought,2023,TRUE,14,docx; docx; docx; docx; epa; black; epa; a; xlsx; xlsx; xlsx; xlsx; xlsx; docx,https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s001&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s002&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s003&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s004&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s005&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s006&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s007&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s008&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s009&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s010&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s011&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s012&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s013&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000197.s014&type=supplementary,5,Devin F. Smith,"School of Earth Sciences, The Ohio State University, Columbus, Ohio, United States of America",United States of America,https://orcid.org/0000-0001-6945-7306,Devin F. Smith,"School of Earth Sciences, The Ohio State University, Columbus, Ohio, United States of America",United States of America,https://orcid.org/0000-0001-6945-7306,TRUE,"All river δ18O and δ2H values are reported in this study. Upon publication content from S1 and S2 Tables will be available for open access through the Consortium of Universities for the Advancement of Hydrologic Science, Inc. HydroShare (https://www.hydroshare.org/). The data can be accessed upon manuscript publication at https://doi.org/10.4211/hs.aa3a731c51f44e4aba637e36e802117e. Data will also be uploaded to waterisotopes.org database. Data Further description of evaporation fraction calculation is provided in Diamond and Jack (2018).",available in online repository,https://www.hydroshare.org/; https://doi.org/10.4211/hs.aa3a731c51f44e4aba637e36e802117e; 10.4211/hs.aa3a731c51f44e4aba637e36e802117e,hydroshare,/Earth sciences/Atmospheric science/Meteorology; /Earth sciences/Atmospheric science/Meteorology/Rain; /Earth sciences/Geomorphology/Topography/Landforms/Islands; /Earth sciences/Hydrology/Surface water; /Earth sciences/Marine and aquatic sciences/Aquatic environments/Freshwater environments/Rivers; /Earth sciences/Marine and aquatic sciences/Bodies of water/Rivers; /Ecology and environmental sciences/Aquatic environments/Freshwater environments/Rivers; /Ecology and environmental sciences/Drought; /Ecology and environmental sciences/Natural resources/Water resources; /Physical sciences/Physics/Condensed matter physics/Phase transitions/Vaporization/Evaporation,journals.plos.org,10.1371/journal.pwat.0000197,Research Article,2023-11-14
